player_id,fifa_version,overall,potential,age,height_cm,weight_kg,club_team_id,club_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,goals,assists,club_position_mapped,primary_position,has_multiple_positions,primary_position_mapped,years_remaining,log_value_eur,log_wage_eur,work_rate_High/High,work_rate_High/Low,work_rate_High/Medium,work_rate_Low/High,work_rate_Low/Low,work_rate_Low/Medium,work_rate_Medium/High,work_rate_Medium/Low,work_rate_Medium/Medium,body_type_Lean (170-),body_type_Lean (170-185),body_type_Lean (185+),body_type_Normal (170-),body_type_Normal (170-185),body_type_Normal (185+),body_type_Stocky (170-),body_type_Stocky (170-185),body_type_Stocky (185+),body_type_Unique
407,21,85.0,85.0,0.8943499074653488,-1.044207813211314,-0.9152249456982433,5,5.0,Right,4.0,4.0,3.0,76.0,75.0,81.0,86.0,78.0,79.0,72.0,75.0,2,0,7,CM,0,24,0.0,1.6750673626789248,1.3454884134401466,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
454,21,85.0,85.0,1.3353930307287791,0.5152175143563876,0.6343650441763764,13,4.0,Right,3.0,2.0,3.0,63.0,55.0,72.0,67.0,87.0,79.0,64.0,45.0,1,0,2,CB,0,11,2.0,1.4584116643173028,1.2257818798127995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
545,21,85.0,85.0,1.114871469097064,0.08991969774701447,-0.786092446542025,6,2.0,Right,2.0,3.0,3.0,92.0,63.0,76.0,78.0,80.0,82.0,81.0,51.0,1,1,10,RB,0,10,3.0,1.5999205272399133,1.4501898190932683,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
641,21,85.0,87.0,0.6738283458336337,1.082281269835552,0.7634975433325948,0,1.0,Right,3.0,1.0,3.0,,,,,,,9.0,9.0,0,0,5,GK,0,5,2.0,1.5932263908241944,1.047123399777841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
929,21,85.0,85.0,0.8943499074653488,-0.4771440577321498,-1.1734899440106799,6,26.0,Left,4.0,5.0,3.0,83.0,79.0,81.0,90.0,38.0,59.0,83.0,79.0,9,6,3,RW,1,3,2.0,1.6809366160001775,1.6269541599210429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1040,21,85.0,86.0,0.45330678420191867,-0.19361217999256766,-1.4317549423231166,2,27.0,Left,2.0,5.0,3.0,80.0,76.0,87.0,84.0,50.0,66.0,88.0,73.0,2,3,12,CAM,1,14,4.0,1.7780537237640668,1.2877745700334566,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1068,21,85.0,87.0,0.23278522257020354,-1.044207813211314,-0.786092446542025,15,21.0,Right,4.0,3.0,3.0,83.0,66.0,79.0,82.0,81.0,76.0,82.0,63.0,0,1,10,RB,0,10,2.0,1.7679851833702078,1.1588247132919163,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1119,21,85.0,88.0,-0.20825790069322667,-0.33537811886235874,-0.011297451604715118,2,21.0,Right,4.0,3.0,3.0,91.0,85.0,69.0,84.0,35.0,71.0,69.0,88.0,6,12,12,ST,0,1,4.0,1.8917792233621078,1.2573523583748079,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1632,21,85.0,91.0,-0.6493010239566569,0.5152175143563876,-0.786092446542025,7,10.0,Right,4.0,5.0,2.0,91.0,83.0,78.0,86.0,45.0,78.0,77.0,83.0,11,13,18,LM,1,18,2.0,1.9842540639887383,1.3454884134401466,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1635,21,85.0,88.0,-0.20825790069322667,1.224047208705343,0.7634975433325948,6,16.0,Right,4.0,3.0,2.0,65.0,68.0,77.0,77.0,82.0,80.0,63.0,64.0,2,2,9,CDM,1,9,3.0,1.8214396700416207,1.317129120090601,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
